Wavelength,Intensity
557.302452,2
556.291199,5
555.287605,9
554.291652,10
553.303319,9
552.322588,8
551.349439,7
550.383852,6
549.425809,5
548.47529,5
547.532276,4
546.596747,5
545.668684,6
544.748068,6
543.834879,5
542.929098,5
542.030706,5
541.139683,5
540.256009,6
539.379667,8
538.510635,8
537.648895,8
536.794428,7
535.947214,6
535.107234,5
534.274468,5
533.448898,6
532.630503,7
531.819264,8
531.015163,9
530.218179,8
529.428294,7
528.645487,7
527.869741,6
527.101034,5
526.339349,5
525.584665,6
524.836963,6
524.096225,7
523.36243,7
522.635559,8
521.915593,7
521.202512,6
520.496298,5
519.79693,5
519.10439,4
518.418658,5
517.739715,5
517.067541,5
516.402118,5
515.743425,5
515.091443,5
514.446154,5
513.807537,5
513.175573,4
512.550244,5
511.931529,6
511.319409,8
510.713865,8
510.114878,9
509.522428,9
508.936496,8
508.357062,7
507.784108,6
507.217613,5
506.657559,4
506.103926,3
505.556695,3
505.015847,4
504.481361,5
503.953219,6
503.431402,7
502.915889,7
502.406662,6
501.903702,6
501.406988,7
500.916503,7
500.432225,7
499.954136,7
499.482217,8
499.016449,8
498.556811,9
498.103284,9
497.65585,8
497.214489,7
496.779181,6
496.349908,5
495.926649,4
495.509385,5
495.098098,5
494.692768,4
494.293374,4
493.899899,5
493.512323,6
493.130626,7
492.754789,8
492.384792,8
492.020617,7
491.662244,6
491.309654,6
490.962826,7
490.621743,8
490.286384,9
489.956731,9
489.632763,8
489.314462,6
489.001808,6
488.694781,6
488.393364,6
488.097535,6
487.807276,6
487.522567,5
487.24339,6
486.969724,6
486.701551,6
486.438851,5
486.181604,4
485.929792,4
485.683394,5
485.442392,6
485.206767,7
484.976498,8
484.751567,8
484.531954,7
484.317641,6
484.108606,6
483.904832,7
483.706299,6
483.512987,6
483.324877,4
483.14195,3
482.964186,4
482.791567,6
482.624072,7
482.461683,8
482.304379,8
482.152143,8
482.004953,7
481.862792,6
481.725639,6
481.593476,7
481.466282,7
481.344039,8
481.226728,7
481.114328,8
481.00682,8
480.904186,8
480.806406,8
480.71346,7
480.62533,6
480.541995,6
480.463437,6
480.389635,7
480.320572,8
480.256227,8
480.196581,7
480.141614,5
480.091308,5
480.045643,5
480.0046,6
479.968158,7
479.9363,8
479.909006,8
479.886255,8
479.86803,9
479.85431,9
479.845076,8
479.84031,7
479.83999,6
479.844099,4
479.852617,4
479.865524,5
479.882801,6
479.904429,6
479.930389,6
479.96066,7
479.995224,7
480.034062,7
480.077153,7
480.124479,7
480.176021,8
480.231758,8
480.291672,8
480.355744,10
480.423953,11
480.496281,10
480.572708,9
480.653215,8
480.737782,7
480.826391,6
480.919021,6
481.015654,6
481.11627,8
481.22085,8
481.329374,8
481.441823,7
481.558178,8
481.67842,8
481.802528,8
481.930484,9
482.062269,9
482.197862,10
482.337245,10
482.480398,9
482.627303,9
482.777938,10
482.932286,11
483.090327,11
483.252042,10
483.41741,9
483.586414,8
483.759033,7
483.935248,8
484.11504,10
484.298389,12
484.485276,14
484.675682,14
484.869588,14
485.066973,14
485.26782,13
485.472107,13
485.679817,13
485.890929,13
486.105425,12
486.323284,12
486.544488,12
486.769017,11
486.996853,10
487.227974,9
487.462363,10
487.7,12
487.940865,13
488.18494,14
488.432204,14
488.682639,14
488.936224,13
489.192942,12
489.452772,13
489.715695,14
489.981692,14
490.250743,15
490.522829,15
490.79793,15
491.076028,18
491.357103,18
491.641136,17
491.928107,16
492.217996,15
492.510786,15
492.806455,14
493.104986,15
493.406358,16
493.710552,16
494.017548,16
494.327329,15
494.639873,15
494.955162,16
495.273177,17
495.593898,19
495.917305,19
496.24338,17
496.572103,16
496.903454,16
497.237415,15
497.573966,15
497.913087,16
498.25476,16
498.598965,17
498.945682,17
499.294892,18
499.646576,19
500.000715,20
500.357289,20
500.716279,19
501.077665,18
501.441429,20
501.80755,21
502.176009,22
502.546788,22
502.919867,21
503.295225,19
503.672845,18
504.052707,18
504.434791,18
504.819077,19
505.205548,20
505.594183,22
505.984962,21
506.377868,21
506.772879,20
507.169978,20
507.569144,20
507.970358,19
508.373601,20
508.778853,21
509.186096,22
509.59531,23
510.006474,24
510.419571,24
510.834581,24
511.251484,23
511.670261,22
512.090893,22
512.513361,22
512.937644,23
513.363724,22
513.791581,23
514.221196,24
514.65255,24
515.085623,23
515.520396,22
515.956849,21
516.394964,20
516.83472,21
517.276099,22
517.719081,22
518.163647,22
518.609778,21
519.057453,20
519.506655,19
519.957362,19
520.409557,18
520.86322,17
521.31833,18
521.77487,19
522.23282,20
522.69216,21
523.152871,20
523.614933,20
524.078328,19
524.543035,19
525.009036,18
525.476312,17
525.944842,17
526.414608,17
526.88559,18
527.357769,19
527.831125,19
528.305639,20
528.781293,20
529.258065,19
529.735938,18
530.214891,18
530.694906,17
531.175963,18
531.658042,18
532.141125,19
532.625192,20
533.110223,20
533.5962,21
534.083103,20
534.570912,20
535.059608,19
535.549173,18
536.039586,18
536.530828,19
537.02288,19
537.515722,20
538.009335,21
538.503701,21
538.998798,19
539.494609,19
539.991114,19
540.488293,20
540.986127,22
541.484597,24
541.983683,25
542.483366,25
542.983626,26
543.484445,25
543.985803,24
544.487681,24
544.990059,23
545.492917,23
545.996238,22
546.5,22
547.004185,21
547.508774,20
548.013747,19
548.519085,19
549.024768,18
549.530777,18
550.037093,18
550.543697,19
551.050568,20
551.557688,19
552.065038,19
552.572598,19
553.080348,18
553.588269,18
554.096343,18
554.604549,17
555.112868,18
555.621282,19
556.12977,18
556.638313,18
557.146892,18
557.655487,17
558.16408,16
558.67265,16
559.181179,17
559.689647,17
560.198035,18
560.706323,18
561.214492,17
561.722523,16
562.230397,16
562.738093,16
563.245593,16
563.752878,16
564.259927,16
564.766722,15
565.273243,14
565.779472,14
566.285387,14
566.790971,15
567.296204,16
567.801067,15
568.305539,15
568.809603,15
569.313238,14
569.816425,13
570.319145,13
570.821378,14
571.323105,15
571.824307,16
572.324965,14
572.825058,12
573.324568,11
573.823476,10
574.321762,10
574.819406,11
575.316389,12
575.812693,13
576.308297,13
576.803182,13
577.297329,13
577.790719,14
578.283331,14
578.775148,13
579.266149,12
579.756316,11
580.245628,10
580.734066,11
581.221612,12
581.708246,13
582.193947,13
582.678698,13
583.162479,13
583.64527,11
584.127052,11
584.607805,12
585.087511,12
585.56615,13
586.043703,13
586.520149,12
586.995471,11
587.469648,9
587.942662,9
588.414492,8
588.88512,9
589.354526,10
589.82269,10
590.289595,9
590.755219,9
591.219544,9
591.682551,9
592.144219,8
592.60453,8
593.063465,7
593.521004,7
593.977127,6
594.431816,5
594.88505,5
595.336811,5
595.78708,6
596.235836,6
596.683061,6
597.128736,6
597.57284,6
598.015354,6
598.45626,5
598.895538,5
599.333168,5
599.769131,5
600.203408,5
600.63598,6
601.066826,6
601.495928,6
601.923267,5
602.348823,4
602.772576,4
603.194508,4
603.614598,5
604.032829,5
604.449179,6
604.863631,6
605.276164,5
605.686759,4
606.095397,4
606.502059,4
606.906725,4
607.309376,5
607.709992,4
608.108555,4
608.505044,4
608.89944,3
609.291725,3
609.681879,4
610.069881,5
610.455714,5
610.839358,6
611.220793,6
611.6,6
611.97696,5
612.351653,5
612.724059,5
613.094161,4
613.461938,5
613.82737,4
614.190439,4
614.551126,5
614.90941,5
615.265273,4
615.618695,4
615.969656,4
616.318138,4
616.664122,4
617.007587,4
617.348514,5
617.686885,5
618.022679,4
618.355877,4
618.686461,5
619.01441,5
619.339706,5
619.662328,5
619.982258,5
620.299477,5
620.613964,4
620.925701,3
621.234668,3
621.540846,3
621.844216,3
622.144757,3
622.442452,4
622.73728,4
623.029222,5
623.318258,5
623.604371,6
623.887539,5
624.167744,5
624.444967,6
624.719187,6
624.990386,6
625.258545,6
625.523643,6
625.785662,6
626.044582,5
626.300385,6
626.55305,6
626.802558,6
627.04889,6
627.292026,6
627.531948,5
627.768635,5
628.002069,5
628.23223,4
628.459099,4
628.682657,4
628.902883,3
629.119759,2
629.333266,1
629.543384,3
629.750093,3
629.953374,4
630.153209,4
630.349577,4
630.54246,4
630.731838,5
630.917691,5
631.1,4
631.278746,4
631.45391,3
631.625472,3
631.793413,3
631.957713,4
632.118354,5
632.275315,5
632.428578,5
632.578123,4
632.72393,4
632.865981,4
633.004256,5
633.138736,6
633.269401,7
633.396232,7
633.51921,6
633.638315,4
633.753528,3
633.86483,3
633.972201,3
634.075622,4
634.175073,5
634.270536,5
634.36199,5
634.449417,6
634.532797,5
634.612111,5
634.68734,5
634.758463,5
634.825463,6
634.888318,5
634.947011,5
635.001522,5
635.05183,5
635.097918,4
635.139766,3
635.177354,4
635.210663,5
635.239673,5
635.264366,5
635.284722,5
635.300721,5
635.312344,4
635.319573,3
635.322387,4
635.320767,5
635.314694,6
635.304148,6
635.289111,7
635.269562,7
635.245483,7
635.216853,6
635.183655,5
635.145868,4
635.103473,5
635.05645,6
635.004781,6
634.948446,6
634.887426,5
634.821701,4
634.751252,4
634.676059,5
634.596104,5
634.511366,6
634.421827,7
634.327468,6
634.228268,5
634.124208,4
634.01527,4
633.901434,4
633.78268,4
633.658989,4
633.530342,4
633.396719,5
633.258101,7
633.114469,7
632.965803,7
632.812085,7
632.653294,6
632.489411,5
632.320417,4
632.146293,4
631.967019,5
631.782576,5
631.592945,5
631.398106,5
631.198039,5
630.992726,5
630.782148,5
630.566284,5
630.345115,5
630.118623,5
629.886787,6
629.649589,7
629.407009,7
629.159028,7
628.905626,7
628.646784,6
628.382483,6
628.112702,5
627.837424,5
627.556629,6
627.270297,7
626.978409,7
626.680945,7
626.377886,6
626.069214,5
625.754908,5
625.434949,5
625.109318,6
624.777995,7
624.440962,9
624.098198,9
623.749685,9
