Concentration,Intensity,Absorbance,File,Predicted_Conc
0.00000,22.92075,0.00000,blank.csv,7.50117
0.09400,12.16783,0.27502,0.094.csv,
0.18750,19.67366,0.06634,0.1875.csv,6.71417
0.37500,15.08625,0.18165,0.375.csv,0.45825
0.75000,14.04196,0.21280,0.75.csv,1.47856
1.25000,9.56643,0.37948,1.25.csv,
2.50000,11.98834,0.28147,2.5.csv,
5.00000,20.41725,0.05023,5.csv,6.91851
10.00000,42.06061,-0.26365,10.csv,9.82607
