Concentration,Intensity,Absorbance,File,Predicted_Conc
0.00000,229.06527,0.00000,blank.csv,0.03840
1.00000,227.52681,0.00293,sample_1ppm.csv,1.06908
2.00000,226.66434,0.00458,sample_2ppm.csv,1.64993
5.00000,221.58741,0.01441,sample_5ppm.csv,5.11458
10.00000,214.27040,0.02900,sample_10ppm.csv,10.25020
20.00000,201.19814,0.05634,sample_20ppm.csv,19.87781
