Wavelength,Intensity
557.302452,7
556.291199,8
555.287605,9
554.291652,10
553.303319,10
552.322588,10
551.349439,9
550.383852,8
549.425809,7
548.47529,6
547.532276,7
546.596747,7
545.668684,8
544.748068,8
543.834879,8
542.929098,8
542.030706,7
541.139683,7
540.256009,7
539.379667,7
538.510635,8
537.648895,9
536.794428,8
535.947214,8
535.107234,8
534.274468,6
533.448898,5
532.630503,4
531.819264,3
531.015163,4
530.218179,4
529.428294,5
528.645487,5
527.869741,7
527.101034,8
526.339349,8
525.584665,7
524.836963,5
524.096225,4
523.36243,3
522.635559,3
521.915593,4
521.202512,5
520.496298,6
519.79693,5
519.10439,4
518.418658,3
517.739715,3
517.067541,4
516.402118,4
515.743425,4
515.091443,4
514.446154,5
513.807537,4
513.175573,4
512.550244,4
511.931529,4
511.319409,4
510.713865,3
510.114878,3
509.522428,4
508.936496,5
508.357062,6
507.784108,7
507.217613,7
506.657559,7
506.103926,6
505.556695,4
505.015847,3
504.481361,4
503.953219,3
503.431402,3
502.915889,3
502.406662,3
501.903702,2
501.406988,3
500.916503,5
500.432225,5
499.954136,6
499.482217,6
499.016449,5
498.556811,5
498.103284,5
497.65585,5
497.214489,5
496.779181,6
496.349908,5
495.926649,4
495.509385,3
495.098098,3
494.692768,3
494.293374,3
493.899899,4
493.512323,4
493.130626,5
492.754789,5
492.384792,5
492.020617,4
491.662244,4
491.309654,4
490.962826,4
490.621743,4
490.286384,4
489.956731,4
489.632763,4
489.314462,4
489.001808,4
488.694781,5
488.393364,5
488.097535,6
487.807276,6
487.522567,6
487.24339,6
486.969724,6
486.701551,7
486.438851,7
486.181604,6
485.929792,3
485.683394,3
485.442392,3
485.206767,5
484.976498,6
484.751567,6
484.531954,6
484.317641,5
484.108606,5
483.904832,5
483.706299,4
483.512987,4
483.324877,5
483.14195,5
482.964186,6
482.791567,7
482.624072,7
482.461683,8
482.304379,8
482.152143,7
482.004953,8
481.862792,9
481.725639,10
481.593476,10
481.466282,9
481.344039,8
481.226728,7
481.114328,5
481.00682,5
480.904186,8
480.806406,10
480.71346,11
480.62533,11
480.541995,10
480.463437,10
480.389635,12
480.320572,13
480.256227,14
480.196581,15
480.141614,15
480.091308,15
480.045643,14
480.0046,14
479.968158,14
479.9363,14
479.909006,14
479.886255,14
479.86803,15
479.85431,17
479.845076,18
479.84031,18
479.83999,18
479.844099,18
479.852617,17
479.865524,18
479.882801,18
479.904429,18
479.930389,18
479.96066,18
479.995224,19
480.034062,19
480.077153,21
480.124479,22
480.176021,24
480.231758,25
480.291672,25
480.355744,26
480.423953,25
480.496281,25
480.572708,25
480.653215,26
480.737782,27
480.826391,29
480.919021,30
481.015654,31
481.11627,32
481.22085,32
481.329374,32
481.441823,32
481.558178,34
481.67842,36
481.802528,37
481.930484,38
482.062269,38
482.197862,37
482.337245,36
482.480398,37
482.627303,39
482.777938,41
482.932286,43
483.090327,44
483.252042,45
483.41741,46
483.586414,47
483.759033,47
483.935248,48
484.11504,48
484.298389,47
484.485276,48
484.675682,49
484.869588,50
485.066973,51
485.26782,52
485.472107,52
485.679817,51
485.890929,51
486.105425,52
486.323284,53
486.544488,54
486.769017,54
486.996853,53
487.227974,53
487.462363,52
487.7,52
487.940865,53
488.18494,54
488.432204,54
488.682639,54
488.936224,54
489.192942,53
489.452772,54
489.715695,54
489.981692,54
490.250743,54
490.522829,54
490.79793,54
491.076028,55
491.357103,55
491.641136,55
491.928107,55
492.217996,54
492.510786,53
492.806455,53
493.104986,53
493.406358,54
493.710552,54
494.017548,54
494.327329,54
494.639873,53
494.955162,53
495.273177,53
495.593898,53
495.917305,54
496.24338,54
496.572103,54
496.903454,55
497.237415,55
497.573966,54
497.913087,54
498.25476,54
498.598965,54
498.945682,54
499.294892,53
499.646576,52
500.000715,51
500.357289,50
500.716279,51
501.077665,51
501.441429,52
501.80755,52
502.176009,52
502.546788,51
502.919867,51
503.295225,51
503.672845,51
504.052707,51
504.434791,51
504.819077,50
505.205548,48
505.594183,47
505.984962,47
506.377868,48
506.772879,48
507.169978,49
507.569144,49
507.970358,49
508.373601,48
508.778853,47
509.186096,46
509.59531,46
510.006474,47
510.419571,47
510.834581,47
511.251484,48
511.670261,48
512.090893,46
512.513361,45
512.937644,46
513.363724,47
513.791581,47
514.221196,48
514.65255,49
515.085623,50
515.520396,49
515.956849,48
516.394964,47
516.83472,47
517.276099,48
517.719081,49
518.163647,51
518.609778,53
519.057453,55
519.506655,55
519.957362,55
520.409557,56
520.86322,56
521.31833,55
521.77487,54
522.23282,53
522.69216,52
523.152871,54
523.614933,55
524.078328,56
524.543035,58
525.009036,58
525.476312,58
525.944842,59
526.414608,59
526.88559,58
527.357769,58
527.831125,58
528.305639,58
528.781293,59
529.258065,60
529.735938,60
530.214891,59
530.694906,58
531.175963,58
531.658042,58
532.141125,59
532.625192,60
533.110223,63
533.5962,64
534.083103,63
534.570912,62
535.059608,61
535.549173,61
536.039586,61
536.530828,62
537.02288,63
537.515722,65
538.009335,64
538.503701,62
538.998798,59
539.494609,60
539.991114,60
540.488293,60
540.986127,61
541.484597,62
541.983683,62
542.483366,61
542.983626,61
543.484445,61
543.985803,61
544.487681,62
544.990059,61
545.492917,60
545.996238,59
546.5,59
547.004185,59
547.508774,60
548.013747,61
548.519085,61
549.024768,61
549.530777,61
550.037093,61
550.543697,62
551.050568,63
551.557688,63
552.065038,63
552.572598,63
553.080348,63
553.588269,64
554.096343,65
554.604549,65
555.112868,65
555.621282,63
556.12977,63
556.638313,63
557.146892,64
557.655487,65
558.16408,66
558.67265,68
559.181179,68
559.689647,68
560.198035,67
560.706323,67
561.214492,68
561.722523,69
562.230397,70
562.738093,71
563.245593,72
563.752878,72
564.259927,71
564.766722,71
565.273243,71
565.779472,70
566.285387,70
566.790971,68
567.296204,67
567.801067,68
568.305539,69
568.809603,70
569.313238,72
569.816425,72
570.319145,72
570.821378,71
571.323105,70
571.824307,69
572.324965,69
572.825058,69
573.324568,69
573.823476,67
574.321762,67
574.819406,68
575.316389,68
575.812693,69
576.308297,70
576.803182,69
577.297329,69
577.790719,69
578.283331,70
578.775148,70
579.266149,69
579.756316,68
580.245628,66
580.734066,65
581.221612,64
581.708246,64
582.193947,64
582.678698,65
583.162479,65
583.64527,64
584.127052,64
584.607805,63
585.087511,62
585.56615,62
586.043703,61
586.520149,60
586.995471,59
587.469648,59
587.942662,58
588.414492,57
588.88512,56
589.354526,55
589.82269,56
590.289595,55
590.755219,55
591.219544,55
591.682551,54
592.144219,54
592.60453,53
593.063465,52
593.521004,52
593.977127,51
594.431816,50
594.88505,48
595.336811,46
595.78708,43
596.235836,42
596.683061,40
597.128736,39
597.57284,39
598.015354,38
598.45626,38
598.895538,37
599.333168,38
599.769131,36
600.203408,35
600.63598,33
601.066826,29
601.495928,26
601.923267,24
602.348823,24
602.772576,23
603.194508,22
603.614598,21
604.032829,19
604.449179,18
604.863631,17
605.276164,16
605.686759,15
606.095397,14
606.502059,13
606.906725,13
607.309376,13
607.709992,13
608.108555,14
608.505044,13
608.89944,12
609.291725,12
609.681879,11
610.069881,11
610.455714,11
610.839358,11
611.220793,12
611.6,11
611.97696,10
612.351653,10
612.724059,10
613.094161,10
613.461938,10
613.82737,10
614.190439,10
614.551126,9
614.90941,9
615.265273,9
615.618695,8
615.969656,9
616.318138,9
616.664122,9
617.007587,8
617.348514,8
617.686885,8
618.022679,8
618.355877,8
618.686461,8
619.01441,8
619.339706,8
